Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Jonah Heim","TEX","C",329,308,2690,2586,102,12,2,10,3,12,4,5,,204,48,11,90,0.99555556,,"Jonah Heim",16930,641680
"Lane Thomas","- - -","CF",95,72,655,190,8,4,2,2,0,2,0,0,,,,,,0.98019802,,"Lane Thomas",16939,657041
"Lane Thomas","- - -","RF",245,233,2040.1,489,20,9,6,3,0,4,0,0,,,,,,0.98262548,,"Lane Thomas",16939,657041
"Derek Hill","- - -","CF",91,67,615.1,196,5,1,1,0,0,1,0,0,,,,,,0.9950495,,"Derek Hill",16947,656537
"Gleyber Torres","- - -","2B",417,411,3613,650,934,38,28,10,203,77,133,15,,,,,,0.97657213,,"Gleyber Torres",16997,650402
"Edmundo Sosa","PHI","2B",57,49,400.2,101,109,3,2,1,25,8,17,1,,,,,,0.98591549,,"Edmundo Sosa",17022,624641
"Edmundo Sosa","PHI","3B",138,102,954.1,88,220,14,11,3,9,9,0,0,,,,,,0.95652174,,"Edmundo Sosa",17022,624641
"Edmundo Sosa","PHI","SS",79,54,527.2,84,149,3,1,2,30,15,16,2,,,,,,0.98728814,,"Edmundo Sosa",17022,624641
"Alex Verdugo","- - -","LF",195,186,1646.2,356,8,3,3,0,0,1,0,0,,,,,,0.99182561,,"Alex Verdugo",17027,657077
"Alex Verdugo","- - -","RF",150,143,1243,306,12,3,2,1,0,4,0,0,,,,,,0.99065421,,"Alex Verdugo",17027,657077
"Jose Herrera","ARI","C",137,123,1077.2,1081,35,7,2,5,0,3,0,4,,88,17,7,30,0.9937667,,"Jose Herrera",17040,645444
"Pablo López","MIN","P",76,76,446,23,41,5,0,5,1,1,0,0,,27,,,,0.92753623,,"Pablo Lopez",17085,641154
"Ramón Laureano","- - -","CF",50,39,324.1,90,4,1,1,0,0,1,0,0,,,,,,0.98947368,,"Ramon Laureano",17128,657656
"Ramón Laureano","- - -","LF",85,72,634,135,5,2,2,0,0,1,0,0,,,,,,0.98591549,,"Ramon Laureano",17128,657656
"Ramón Laureano","- - -","RF",201,154,1391.2,335,17,11,5,6,0,3,0,0,,,,,,0.96969697,,"Ramon Laureano",17128,657656
"Chad Wallach","LAA","C",59,49,414.1,457,16,2,1,1,1,1,2,1,,22,9,4,21,0.99578947,,"Chad Wallach",17161,595453
"Yoán Moncada","- - -","3B",170,163,1387,116,256,17,11,6,25,26,0,3,,,,,,0.9562982,,"Yoan Moncada",17232,660162
"Jorge Mateo","BAL","2B",61,57,498.2,84,141,6,2,4,25,8,16,2,,,,,,0.97402597,,"Jorge Mateo",17273,622761
"Jorge Mateo","BAL","SS",126,106,942,128,266,14,8,6,58,31,29,4,,,,,,0.96568627,,"Jorge Mateo",17273,622761
"Alex Jackson","- - -","C",88,68,612.2,641,29,8,4,4,1,5,1,1,,41,17,6,14,0.98820059,,"Alex Jackson",17276,656577
