,Team,PA,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,R,RBI,AVG,OBP,SLG,OPS
Travis d'Arnaud,HOU,257,219,46,31,5,1,9,38,39,0,0,0,25,0.21,0.327,0.365,0.692
Bryan Ramos,CHW,327,275,61,42,11,1,7,52,65,0,0,0,21,0.222,0.346,0.345,0.691
Anthony Rendon,LAA,165,140,29,18,4,3,4,25,26,0,0,0,21,0.207,0.327,0.364,0.691
Jeimer Candelario,NYY,320,278,63,44,9,1,9,42,65,0,0,0,28,0.227,0.328,0.363,0.691
Trenton Brooks,DET,166,130,25,14,8,0,3,36,24,0,0,0,15,0.192,0.367,0.323,0.69
Endy Rodríguez,PIT,266,225,55,42,10,0,3,41,28,0,0,0,24,0.244,0.361,0.329,0.69
Derek Hill,BAL,362,316,71,47,14,0,10,46,60,0,0,0,54,0.225,0.323,0.364,0.687
Jose Herrera,ARI,269,234,59,43,14,0,2,35,42,0,0,0,28,0.252,0.349,0.338,0.687
Trey Lipscomb,WSN,161,135,31,22,6,1,2,26,33,0,0,0,15,0.23,0.354,0.333,0.687
Ian Happ,CHC,285,248,55,36,11,0,8,37,52,0,0,0,37,0.222,0.323,0.363,0.686
Kody Clemens,DET,196,173,39,28,4,0,7,23,34,0,0,0,21,0.225,0.316,0.37,0.686
Kole Calhoun,CLE,216,187,45,34,7,0,4,29,30,0,0,0,22,0.241,0.343,0.342,0.685
Niko Kavadas,LAA,225,196,48,33,13,0,2,29,53,0,0,0,27,0.245,0.342,0.342,0.684
Reese McGuire,LAA,162,140,31,20,7,0,4,22,31,0,0,0,21,0.221,0.327,0.357,0.684
Alan Trejo,COL,165,139,31,20,8,1,2,26,17,0,0,0,16,0.223,0.345,0.338,0.683
Alex Call,SEA,488,421,98,73,13,2,10,67,90,0,0,0,49,0.233,0.338,0.344,0.682
Nick Martini,OAK,167,145,33,23,6,0,4,22,25,0,0,0,17,0.228,0.329,0.352,0.681
Jake Mangum,TBR,276,240,58,41,12,4,1,36,29,0,0,0,30,0.242,0.341,0.338,0.679
Matt Duffy,OAK,166,146,36,24,10,2,0,20,29,0,0,0,11,0.247,0.337,0.342,0.679
Robbie Grossman,TBR,312,266,58,38,13,0,7,46,68,0,0,0,35,0.218,0.333,0.346,0.679
Lawrence Butler,OAK,219,174,34,23,6,0,5,45,38,0,0,0,29,0.195,0.361,0.316,0.677
Willie MacIver,OAK,174,153,33,20,8,0,5,21,27,0,0,0,28,0.216,0.31,0.366,0.676
Victor Scott II,STL,178,138,30,22,7,1,0,40,23,0,0,0,19,0.217,0.393,0.283,0.676
Chadwick Tromp,SEA,517,453,105,69,28,0,8,64,89,0,0,0,55,0.232,0.327,0.347,0.674
Rodolfo Castro,SFG,156,131,30,22,6,0,2,25,27,0,0,0,12,0.229,0.353,0.321,0.674
Jacob Wilson,OAK,162,137,31,21,8,0,2,25,22,0,0,0,15,0.226,0.346,0.328,0.674
Luken Baker,STL,339,278,61,41,17,0,3,61,44,0,0,0,21,0.219,0.36,0.313,0.673
Carson Kelly,BAL,347,303,67,46,11,1,9,44,62,0,0,0,35,0.221,0.32,0.353,0.673
Jonah Bride,HOU,182,155,33,24,3,1,5,27,39,0,0,0,16,0.213,0.33,0.342,0.672
Luke Williams,KCR,323,273,64,44,18,1,1,50,45,0,0,0,18,0.234,0.353,0.319,0.672
Daulton Varsho,TOR,339,305,66,37,19,0,10,34,56,0,0,0,39,0.216,0.295,0.377,0.672
Michael Siani,TEX,169,145,37,29,8,0,0,24,25,0,0,0,12,0.255,0.361,0.31,0.671
Marcelo Mayer,BOS,234,203,43,28,8,0,7,31,38,0,0,0,25,0.212,0.316,0.355,0.671
Estevan Florial,SDP,320,281,63,44,10,1,8,39,66,0,0,0,41,0.224,0.319,0.352,0.671
Sandy León,CLE,166,151,36,23,10,0,3,15,29,0,0,0,18,0.238,0.307,0.364,0.671
José Azocar,OAK,160,139,33,24,7,0,2,21,20,0,0,0,13,0.237,0.338,0.331,0.669
Anthony Volpe,NYY,330,281,58,37,12,0,9,49,55,0,0,0,33,0.206,0.324,0.345,0.669
Kevin Kiermaier,TEX,183,153,36,27,8,0,1,30,31,0,0,0,18,0.235,0.361,0.307,0.668
Grae Kessinger,HOU,171,135,26,19,3,0,4,36,28,0,0,0,16,0.193,0.363,0.304,0.667
Liover Peguero,PIT,237,189,35,22,7,0,6,48,34,0,0,0,32,0.185,0.35,0.317,0.667
Noelvi Marte,CIN,167,143,29,17,6,3,3,24,27,0,0,0,17,0.203,0.317,0.35,0.667
Clint Frazier,CHW,167,137,30,19,10,1,0,30,28,0,0,0,13,0.219,0.359,0.307,0.666
Brandon Crawford,PHI,293,240,48,28,15,1,4,53,44,0,0,0,32,0.2,0.345,0.321,0.666
Mickey Gasper,NYY,276,222,45,30,11,0,4,54,48,0,0,0,33,0.203,0.359,0.306,0.665
David Hensley,NYY,324,277,57,37,11,0,9,47,70,0,0,0,26,0.206,0.321,0.343,0.664
Jacob Amaya,NYY,300,254,61,48,10,2,1,46,53,0,0,0,18,0.24,0.357,0.307,0.664
Angel Martínez,CLE,181,151,36,29,6,0,1,30,25,0,0,0,9,0.238,0.365,0.298,0.663
Steven Kwan,CLE,175,153,30,16,8,0,6,22,28,0,0,0,28,0.196,0.297,0.366,0.663
Miguel Sanó,LAA,297,238,49,39,4,0,6,59,74,0,0,0,15,0.206,0.364,0.298,0.662
