,Inning,Inning Half,Event,Batter,Bases,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
231,9,top,ball,2,"[1, 0, 0]",1,1,2,1,3,2
232,9,top,ball,2,"[1, 0, 0]",2,1,2,1,3,2
233,9,top,strike,2,"[1, 0, 0]",2,2,2,1,3,2
234,9,top,ball,2,"[1, 0, 0]",3,2,2,1,3,2
235,9,top,ball,2,"[1, 1, 0]",4,2,2,1,3,2
236,9,top,ball,3,"[1, 1, 0]",1,0,2,1,3,2
237,9,top,ball,3,"[1, 1, 0]",2,0,2,1,3,2
238,9,top,strike,3,"[1, 1, 0]",2,1,2,1,3,2
239,9,top,strike,3,"[1, 1, 0]",2,2,2,1,3,2
240,9,top,fly_out,3,"[1, 1, 0]",2,2,3,1,3,2
241,9,bottom,strike,17,"[0, 0, 0]",0,1,0,1,3,1
242,9,bottom,strike,17,"[0, 0, 0]",0,2,0,1,3,1
243,9,bottom,strike,17,"[0, 0, 0]",0,3,1,1,3,1
244,9,bottom,ball,18,"[0, 0, 0]",1,0,1,1,3,1
245,9,bottom,ball,18,"[0, 0, 0]",2,0,1,1,3,1
246,9,bottom,ball,18,"[0, 0, 0]",3,0,1,1,3,1
247,9,bottom,strike,18,"[0, 0, 0]",3,1,1,1,3,1
248,9,bottom,fly_out,18,"[0, 0, 0]",3,1,2,1,3,1
249,9,bottom,ball,10,"[0, 0, 0]",1,0,2,1,3,1
250,9,bottom,strike,10,"[0, 0, 0]",1,1,2,1,3,1
251,9,bottom,ball,10,"[0, 0, 0]",2,1,2,1,3,1
252,9,bottom,ball,10,"[0, 0, 0]",3,1,2,1,3,1
253,9,bottom,ball,10,"[1, 0, 0]",4,1,2,1,3,1
254,9,bottom,ball,11,"[1, 0, 0]",1,0,2,1,3,1
255,9,bottom,ball,11,"[1, 0, 0]",2,0,2,1,3,1
256,9,bottom,ball,11,"[1, 0, 0]",3,0,2,1,3,1
257,9,bottom,strike,11,"[1, 0, 0]",3,1,2,1,3,1
258,9,bottom,strike,11,"[1, 0, 0]",3,2,2,1,3,1
259,9,bottom,strike,11,"[1, 0, 0]",3,3,3,1,3,1
