,Team,W,L,IP,H,R,BB,SO,BF,RA9,WHIP,K/9
Will Vest,DET,0,0,120.0,114,77,79,101,553,5.78,1.61,7.58
Trevor Williams,WSN,0,0,119.66666666666667,118,83,87,83,564,6.24,1.71,6.24
Kenley Jansen,BOS,0,0,118.33333333333333,108,91,64,105,527,6.92,1.45,7.99
Pedro Avila,MIA,0,0,117.66666666666667,115,86,95,77,563,6.58,1.78,5.89
Eduardo Rodriguez,NYY,0,0,117.0,103,72,101,77,555,5.54,1.74,5.92
Dallas Keuchel,TEX,0,0,112.0,97,60,135,78,568,4.82,2.07,6.27
Jacob Barnes,TOR,0,0,112.0,127,87,75,66,538,6.99,1.8,5.3
Gabe Speier,SEA,0,0,111.66666666666667,96,59,69,92,500,4.76,1.48,7.41
Germán Márquez,COL,0,0,111.0,116,109,70,71,519,8.84,1.68,5.76
Jay Jackson,LAD,0,0,110.33333333333333,101,50,65,78,497,4.08,1.5,6.36
Andrew Chafin,SDP,0,0,107.0,99,78,105,101,525,6.56,1.91,8.5
Jake Bird,MIN,0,0,107.0,107,73,94,91,522,6.14,1.88,7.65
Drew Smyly,CHC,0,0,105.66666666666667,94,85,94,76,505,7.24,1.78,6.47
David Robertson,LAA,0,0,105.66666666666667,92,73,97,99,506,6.22,1.79,8.43
Josh Fleming,PIT,0,0,100.0,119,77,118,51,537,6.93,2.37,4.59
Michael Tonkin,PHI,0,0,94.66666666666667,109,79,69,67,462,7.51,1.88,6.37
Nabil Crismatt,MIL,0,0,94.0,84,66,64,69,430,6.32,1.57,6.61
Ross Stripling,ARI,0,0,82.0,77,69,72,53,395,7.57,1.82,5.82
Tristan Beck,SFG,0,0,71.66666666666667,59,43,48,44,322,5.4,1.49,5.53
Collin McHugh,ATL,0,0,63.0,48,39,57,46,294,5.57,1.67,6.57
Framber Valdez,HOU,0,0,63.0,49,27,46,48,284,3.86,1.51,6.86
Shelby Miller,NYM,0,0,59.666666666666664,46,31,37,45,262,4.68,1.39,6.79
Noah Syndergaard,CHC,0,0,59.666666666666664,60,50,38,37,277,7.54,1.64,5.58
Carlos Carrasco,BAL,0,0,55.666666666666664,51,45,55,40,273,7.28,1.9,6.47
Seth Lugo,TOR,0,0,54.0,44,31,28,37,234,5.17,1.33,6.17
Justin Lawrence,KCR,0,0,53.0,50,27,38,40,247,4.58,1.66,6.79
Anthony DeSclafani,SDP,0,0,52.666666666666664,48,36,37,42,243,6.15,1.61,7.18
Nestor Cortes,CIN,0,0,52.666666666666664,42,31,28,21,228,5.3,1.33,3.59
Marcus Stroman,STL,0,0,52.333333333333336,53,47,49,34,259,8.08,1.95,5.85
Joe Kelly,TEX,0,0,52.0,48,40,36,35,240,6.92,1.62,6.06
Tanner Banks,WSN,0,0,52.0,46,25,27,49,229,4.33,1.4,8.48
Dauri Moreta,PIT,0,0,49.333333333333336,40,39,40,39,228,7.11,1.62,7.11
Lake Bachar,MIA,0,0,48.333333333333336,48,47,42,34,235,8.75,1.86,6.33
Tyler Ferguson,OAK,0,0,47.333333333333336,47,27,22,33,211,5.13,1.46,6.27
Brock Burke,TBR,0,0,46.333333333333336,40,34,22,33,201,6.6,1.34,6.41
Tim Mayza,COL,0,0,46.0,49,37,35,42,222,7.24,1.83,8.22
Tyler Kinley,CLE,0,0,44.666666666666664,52,41,38,41,224,8.26,2.01,8.26
Alex Faedo,DET,0,0,44.666666666666664,50,31,40,31,224,6.25,2.01,6.25
