Inning,Inning Half,Event,Detailed Event,Contact Power,Pitch Type,Pitch Outcome,Batter,Batter Number,Bases,Baserunners,Baserunning Event,Baserunning Result,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
6,bottom,ball,ball,NA,curveball,ball,Brandon Nimmo,8,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,5,0,Clarke Schmidt
6,bottom,double,line drive double,soft,curveball,strike,Brandon Nimmo,8,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,1,0,0,5,0,Clarke Schmidt
6,bottom,ball,ball,NA,curveball,ball,Graham Pauley,9,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,1,0,0,5,0,Clarke Schmidt
6,bottom,strike,swinging strike,NA,curveball,strike,Graham Pauley,9,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,1,1,0,5,0,Clarke Schmidt
6,bottom,strike,called strike,NA,slider,strike,Graham Pauley,9,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,1,2,0,5,0,Clarke Schmidt
6,bottom,strikeout,strikeout looking,NA,slider,strike,Graham Pauley,9,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,1,3,1,5,0,Clarke Schmidt
6,bottom,ball,ball,NA,slider,ball,Tyrone Taylor,1,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,1,0,1,5,0,Clarke Schmidt
6,bottom,strike,called strike,NA,slider,strike,Tyrone Taylor,1,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,1,1,1,5,0,Clarke Schmidt
6,bottom,strike,called strike,NA,curveball,strike,Tyrone Taylor,1,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,1,2,1,5,0,Clarke Schmidt
6,bottom,ball,ball,NA,curveball,ball,Tyrone Taylor,1,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,2,2,1,5,0,Clarke Schmidt
6,bottom,ball,ball,NA,slider,ball,Tyrone Taylor,1,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,3,2,1,5,0,Clarke Schmidt
6,bottom,strikeout,strikeout looking,NA,curveball,strike,Tyrone Taylor,1,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,3,3,2,5,0,Clarke Schmidt
6,bottom,ball,ball,NA,curveball,ball,Griffin Conine,2,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,1,0,2,5,0,Clarke Schmidt
6,bottom,ball,ball,NA,slider,ball,Griffin Conine,2,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,2,0,2,5,0,Clarke Schmidt
6,bottom,out,fly out,hard,slider,strike,Griffin Conine,2,"[0, 1, 0]","[0, 'Brandon Nimmo', 0]",None,safe,2,0,3,5,0,Clarke Schmidt
7,top,ball,ball,NA,fastball,ball,Mark Vientos,1,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,5,0,Mike Clevinger
7,top,foul,foul,NA,slider,strike,Mark Vientos,1,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,0,5,0,Mike Clevinger
7,top,strike,swinging strike,NA,fastball,strike,Mark Vientos,1,"[0, 0, 0]","[0, 0, 0]",None,NA,1,2,0,5,0,Mike Clevinger
7,top,ball,ball,NA,slider,ball,Mark Vientos,1,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,0,5,0,Mike Clevinger
7,top,ball,ball,NA,slider,ball,Mark Vientos,1,"[0, 0, 0]","[0, 0, 0]",None,NA,3,2,0,5,0,Mike Clevinger
7,top,walk,walk,NA,slider,ball,Mark Vientos,1,"[1, 0, 0]","['Mark Vientos', 0, 0]",None,safe,4,2,0,5,0,Mike Clevinger
7,top,out,ground out,medium,fastball,strike,Luken Baker,2,"[1, 0, 0]","['Mark Vientos', 0, 0]",None,safe,0,0,1,5,0,Mike Clevinger
7,top,ball,ball,NA,fastball,ball,Curtis Mead,3,"[1, 0, 0]","['Mark Vientos', 0, 0]",None,safe,1,0,1,5,0,Mike Clevinger
7,top,strike,called strike,NA,fastball,strike,Curtis Mead,3,"[1, 0, 0]","['Mark Vientos', 0, 0]",None,safe,1,1,1,5,0,Mike Clevinger
7,top,double,fly ball double,medium,changeup,strike,Curtis Mead,3,"[0, 1, 0]","[0, 'Curtis Mead', 0]",first to home attempted,safe,1,1,1,6,0,Mike Clevinger
7,top,out,fly out,medium,fastball,strike,Hunter Feduccia,4,"[0, 1, 0]","[0, 'Curtis Mead', 0]",None,safe,0,0,2,6,0,Mike Clevinger
7,top,out,ground out,hard,fastball,strike,Andrew Benintendi,5,"[0, 1, 0]","[0, 'Curtis Mead', 0]",None,safe,0,0,3,6,0,Mike Clevinger
7,bottom,ball,ball,NA,slider,ball,Marcelo Mayer,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,6,0,Clarke Schmidt
7,bottom,strike,called strike,NA,curveball,strike,Marcelo Mayer,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,0,6,0,Clarke Schmidt
7,bottom,foul,foul,NA,fastball,strike,Marcelo Mayer,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,2,0,6,0,Clarke Schmidt
7,bottom,ball,ball,NA,curveball,ball,Marcelo Mayer,3,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,0,6,0,Clarke Schmidt
7,bottom,foul,foul,NA,slider,strike,Marcelo Mayer,3,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,0,6,0,Clarke Schmidt
7,bottom,out,ground out,hard,curveball,strike,Marcelo Mayer,3,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,1,6,0,Clarke Schmidt
7,bottom,strike,called strike,NA,slider,strike,Michael Conforto,4,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,1,6,0,Jay Jackson
7,bottom,ball,ball,NA,slider,ball,Michael Conforto,4,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,1,6,0,Jay Jackson
7,bottom,ball,ball,NA,slider,ball,Michael Conforto,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,1,6,0,Jay Jackson
7,bottom,foul,foul,NA,slider,strike,Michael Conforto,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,1,6,0,Jay Jackson
7,bottom,out,ground out,medium,changeup,strike,Michael Conforto,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,2,6,0,Jay Jackson
7,bottom,ball,ball,NA,slider,ball,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,6,0,Jay Jackson
7,bottom,strike,swinging strike,NA,slider,strike,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,2,6,0,Jay Jackson
7,bottom,ball,ball,NA,fastball,ball,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,2,6,0,Jay Jackson
7,bottom,ball,ball,NA,slider,ball,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,3,1,2,6,0,Jay Jackson
7,bottom,foul,foul,NA,fastball,strike,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,3,2,2,6,0,Jay Jackson
7,bottom,strikeout,strikeout looking,NA,fastball,strike,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,3,3,3,6,0,Jay Jackson
8,top,strike,called strike,NA,slider,strike,Matt Thaiss,6,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,0,6,0,Mike Clevinger
8,top,out,ground out,medium,slider,strike,Matt Thaiss,6,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,1,6,0,Mike Clevinger
8,top,strike,called strike,NA,fastball,strike,Colby Thomas,7,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,1,6,0,Mike Clevinger
8,top,ball,ball,NA,fastball,ball,Colby Thomas,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,1,6,0,Mike Clevinger
8,top,strike,swinging strike,NA,changeup,strike,Colby Thomas,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,2,1,6,0,Mike Clevinger
8,top,strikeout,strikeout swinging,NA,slider,strike,Colby Thomas,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,3,2,6,0,Mike Clevinger
8,top,ball,ball,NA,fastball,ball,Gio Urshela,8,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,6,0,Mike Clevinger
8,top,out,line out,medium,fastball,strike,Gio Urshela,8,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,3,6,0,Mike Clevinger
8,bottom,ball,ball,NA,changeup,ball,Leo Jiménez,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,6,0,Jay Jackson
8,bottom,out,line out,soft,fastball,strike,Leo Jiménez,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,6,0,Jay Jackson
